xy_id,x_from_sw_m,y_from_sw_m,terrain_msl_m,powerline_z_top_msl_m,powerline_z_top_agl_m,powerline_z_bottom_msl_m,powerline_voxel_count,powerline_plot_kind,powerline_kind_in_xy,powerline_plot_height_agl_m,powerline_line_height_agl_m,powerline_pole_height_agl_m,powerline_line_top_msl_m,powerline_pole_top_msl_m,building_z_top_msl_m,building_z_top_agl_m,building_z_bottom_msl_m,building_voxel_count,building_height_agl_m,powerline_minus_building_top_msl_m,powerline_minus_building_top_agl_m
8045,3775.0,1025.0,15.695265769958496,53.195265769958496,37.5,48.195265769958496,2,line-air strand/cable,line,35.0,35.0,0.0,53.195265769958496,15.695265769958496,18.30474328994751,2.6094775199890137,15.695265769958496,1,2.6094775199890137,34.890522480010986,34.890522480010986
11429,5325.0,4375.0,10.238080024719238,47.73808002471924,37.5,42.73808002471924,2,line-air strand/cable,line,35.0,35.0,0.0,47.73808002471924,10.238080024719238,12.694494724273682,2.4564146995544434,10.238080024719238,1,2.4564146995544434,35.04358530044556,35.04358530044556
11428,5325.0,4325.0,8.403082847595215,45.903082847595215,37.5,10.0,9,pole/tower column,line+pole,35.0,35.0,35.0,45.903082847595215,43.403082847595215,10.859497547149658,2.4564146995544434,8.403082847595215,2,2.4564146995544434,35.04358530044556,35.04358530044556
4313,2025.0,1675.0,22.948728561401367,60.44872856140137,37.5,55.44872856140137,2,line-air strand/cable,line,35.0,35.0,0.0,60.44872856140137,22.948728561401367,25.316493034362793,2.367764472961426,22.948728561401367,2,2.367764472961426,35.132235527038574,35.132235527038574
5801,2725.0,1175.0,22.747007369995117,60.24700736999512,37.5,25.0,9,pole/tower column,line+pole,35.0,35.0,35.0,60.24700736999512,57.74700736999512,24.81668972969055,2.0696823596954346,22.747007369995117,1,2.0696823596954346,35.430317640304565,35.430317640304565
5800,2725.0,1125.0,21.55033302307129,59.05033302307129,37.5,25.0,9,pole/tower column,line+pole,35.0,35.0,35.0,59.05033302307129,56.55033302307129,23.620015382766724,2.0696823596954346,21.55033302307129,1,2.0696823596954346,35.430317640304565,35.430317640304565
11486,5375.0,1875.0,15.092178344726562,52.59217834472656,37.5,20.0,9,pole/tower column,line+pole,35.0,35.0,35.0,52.59217834472656,50.09217834472656,17.156412601470947,2.0642342567443848,15.092178344726562,1,2.0642342567443848,35.435765743255615,35.435765743255615
11489,5375.0,2025.0,12.592460632324219,50.09246063232422,37.5,45.09246063232422,2,line-air strand/cable,line,35.0,35.0,0.0,50.09246063232422,12.592460632324219,14.645276069641113,2.0528154373168945,12.592460632324219,1,2.0528154373168945,35.447184562683105,35.447184562683105
11318,5275.0,4175.0,13.111223220825195,50.611223220825195,37.5,15.0,9,pole/tower column,line+pole,35.0,35.0,35.0,50.611223220825195,48.111223220825195,15.062063574790955,1.9508403539657593,13.111223220825195,2,1.9508403539657593,35.54915964603424,35.54915964603424
8243,3875.0,225.0,13.309331893920898,50.8093318939209,37.5,45.8093318939209,2,line-air strand/cable,line,35.0,35.0,0.0,50.8093318939209,13.309331893920898,15.24580693244934,1.9364750385284424,13.309331893920898,2,1.9364750385284424,35.56352496147156,35.56352496147156
11317,5275.0,4125.0,8.415862083435059,45.91586208343506,37.5,40.91586208343506,2,line-air strand/cable,line,35.0,35.0,0.0,45.91586208343506,8.415862083435059,10.244621515274048,1.8287594318389893,8.415862083435059,2,1.8287594318389893,35.67124056816101,35.67124056816101
11420,5325.0,3925.0,11.674257278442383,49.17425727844238,37.5,44.17425727844238,2,line-air strand/cable,line,35.0,35.0,0.0,49.17425727844238,11.674257278442383,13.462902545928955,1.7886452674865723,11.674257278442383,1,1.7886452674865723,35.71135473251343,35.71135473251343
5907,2775.0,1125.0,19.862817764282227,57.36281776428223,37.5,52.36281776428223,2,line-air strand/cable,line,35.0,35.0,0.0,57.36281776428223,19.862817764282227,21.625273823738098,1.7624560594558716,19.862817764282227,2,1.7624560594558716,35.73754394054413,35.73754394054413
5908,2775.0,1175.0,21.50714683532715,59.00714683532715,37.5,54.00714683532715,2,line-air strand/cable,line,35.0,35.0,0.0,59.00714683532715,21.50714683532715,23.26960289478302,1.7624560594558716,21.50714683532715,1,1.7624560594558716,35.73754394054413,35.73754394054413
4103,1925.0,1875.0,23.574026107788086,61.074026107788086,37.5,56.074026107788086,2,line-air strand/cable,line,35.0,35.0,0.0,61.074026107788086,23.574026107788086,25.088814616203308,1.5147885084152222,23.574026107788086,2,1.5147885084152222,35.98521149158478,35.98521149158478
10371,4825.0,4975.0,9.733972549438477,47.23397254943848,37.5,42.23397254943848,2,line-air strand/cable,line,35.0,35.0,0.0,47.23397254943848,9.733972549438477,11.191081166267395,1.4571086168289185,9.733972549438477,2,1.4571086168289185,36.04289138317108,36.04289138317108
