node_id,x,y,z,slowness,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix,model_index,x_original,y_original,x_m,y_m,candidate_eligible,route_hit_count,route_hit_fraction,is_objective,objective_label,objective_prefix,candidate_id,candidate_type,candidate_route_hit_count,original_model_index,shifted_from_model_index,candidate_shifted,candidate_shift_distance_m,original_nofly_clearance_m,nofly_clearance_m,shift_reason,is_candidate
124,1150.0,50.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,124,1150.0,50.0,1150.0,50.0,False,0,0.0,False,,,,,,,,False,,,,,False
125,1200.0,50.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,125,1200.0,50.0,1200.0,50.0,False,0,0.0,False,,,,,,,,False,,,,,False
126,1250.0,50.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,126,1250.0,50.0,1250.0,50.0,False,0,0.0,False,,,,,,,,False,,,,,False
127,1300.0,50.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,127,1300.0,50.0,1300.0,50.0,False,0,0.0,False,,,,,,,,False,,,,,False
128,1350.0,50.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,128,1350.0,50.0,1350.0,50.0,False,0,0.0,False,,,,,,,,False,,,,,False
129,1400.0,50.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,129,1400.0,50.0,1400.0,50.0,False,0,0.0,False,,,,,,,,False,,,,,False
130,1450.0,50.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,130,1450.0,50.0,1450.0,50.0,False,0,0.0,False,,,,,,,,False,,,,,False
131,1500.0,50.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,131,1500.0,50.0,1500.0,50.0,False,0,0.0,False,,,,,,,,False,,,,,False
132,1550.0,50.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,132,1550.0,50.0,1550.0,50.0,False,0,0.0,False,,,,,,,,False,,,,,False
133,1600.0,50.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,133,1600.0,50.0,1600.0,50.0,False,0,0.0,False,,,,,,,,False,,,,,False
134,1650.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,134,1650.0,50.0,1650.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
135,1700.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,135,1700.0,50.0,1700.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
136,1750.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,136,1750.0,50.0,1750.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
137,1800.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,137,1800.0,50.0,1800.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
138,1850.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,138,1850.0,50.0,1850.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
139,1900.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,139,1900.0,50.0,1900.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
