route_file,route_name,route_key,source_kind,status,reason,n_raw_points,n_dense_points,hit_nodes
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00008,edge_table,processed,"edge-table route_key=forward_main_02__part_00008; edges=86; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=5729.0 m",87,156,1167
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00009,edge_table,processed,"edge-table route_key=forward_main_02__part_00009; edges=70; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=4038.5 m",71,97,969
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00010,edge_table,processed,"edge-table route_key=forward_main_02__part_00010; edges=99; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=6130.5 m",100,157,1314
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00011,edge_table,processed,"edge-table route_key=forward_main_02__part_00011; edges=97; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=6009.8 m",98,154,1440
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00012,edge_table,processed,"edge-table route_key=forward_main_02__part_00012; edges=80; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=5201.2 m",81,139,1115
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00013,edge_table,processed,"edge-table route_key=forward_main_02__part_00013; edges=37; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=2347.1 m",38,62,506
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00014,edge_table,processed,"edge-table route_key=forward_main_02__part_00014; edges=26; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=1838.5 m",27,53,535
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00015,edge_table,processed,"edge-table route_key=forward_main_02__part_00015; edges=57; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=3574.9 m",58,93,813
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00016,edge_table,processed,"edge-table route_key=forward_main_02__part_00016; edges=38; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=2376.3 m",39,62,590
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00017,edge_table,processed,"edge-table route_key=forward_main_02__part_00017; edges=21; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=1360.7 m",22,37,409
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00018,edge_table,processed,"edge-table route_key=forward_main_02__part_00018; edges=71; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=4502.7 m",72,118,890
